Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
01-11-2010,1502989.0,1451,0.8373535492763611,1036.0
01-11-2011,3602025.0,4038,0.8984645864289252,892.0
01-11-2012,4307472.0,5932,0.9217801753202967,726.0
01-11-2013,7036727.0,8046,0.8855331841909023,875.0
01-11-2014,5113744.0,6064,0.8139841688654353,843.0
01-11-2015,8457664.0,7211,0.7369296907502427,1173.0
01-11-2016,9593472.0,11369,0.8691177764095347,844.0
01-11-2017,8802942.0,10859,0.899254074960862,811.0
01-11-2018,11007888.0,12432,0.8931788931788932,885.0
01-11-2019,8404106.0,9901,0.9237450762549237,849.0
01-12-2010,707671.0,979,0.9591419816138917,723.0
01-12-2011,2743571.0,3682,0.9505703422053232,745.0
01-12-2012,5265978.0,5136,0.8152258566978193,1025.0
01-12-2013,3181284.0,3670,0.8196185286103542,867.0
01-12-2014,4667718.0,6314,0.9271460247070004,739.0
01-12-2015,2648558.0,3954,0.9815376833586241,670.0
01-12-2016,7145220.0,9131,0.9281568283868141,783.0
01-12-2017,8427713.0,9659,0.8867377575318356,873.0
01-12-2018,5469564.0,6470,0.8831530139103555,845.0
01-12-2019,1150907.0,1566,0.9482758620689655,735.0
02-01-2011,674794.0,781,0.8335467349551856,864.0
02-01-2012,1604456.0,1937,0.8740320082601962,828.0
02-01-2013,2711654.0,3673,0.9226790089844813,738.0
02-01-2014,2315821.0,3316,0.9131483715319663,698.0
02-01-2015,4789006.0,5108,0.8163664839467502,938.0
02-01-2016,6405129.0,4921,0.6907132696606381,1302.0
02-01-2017,1319093.0,1638,0.8894993894993894,805.0
02-01-2018,2844853.0,3792,0.952795358649789,750.0
02-01-2019,6003613.0,6567,0.8994974874371859,914.0
02-01-2020,6345292.0,6969,0.9107475964987803,911.0
02-02-2011,1063617.0,1502,0.952063914780293,708.0
02-02-2012,2474198.0,3737,0.9491570778699492,662.0
02-02-2013,1649663.0,2450,0.9048979591836734,673.0
02-02-2014,5152023.0,5423,0.845841784989858,950.0
02-02-2015,2398450.0,3881,0.9860860602937387,618.0
02-02-2016,4797032.0,6584,0.9655224787363305,729.0
02-02-2017,5740303.0,7649,0.9426068767159106,750.0
02-02-2018,3278883.0,5199,0.9567224466243508,631.0
02-02-2019,3497676.0,3420,0.8926900584795322,1023.0
02-02-2020,4687636.0,5289,0.9117035356400076,886.0
02-03-2011,1929114.0,2109,0.8904694167852063,915.0
02-03-2012,2331219.0,3154,0.9223208623969562,739.0
02-03-2013,3026419.0,3707,0.8181818181818182,816.0
02-03-2014,2886046.0,3493,0.8454050959060979,826.0
02-03-2015,2802283.0,4067,0.958200147528891,689.0
02-03-2016,4129099.0,5918,0.9645150388644812,698.0
02-03-2017,5874036.0,8134,0.9144332431767888,722.0
02-03-2018,2419255.0,3167,0.9160088411746132,764.0
02-03-2019,6129702.0,5371,0.8173524483336436,1141.0
02-03-2020,6733729.0,7666,0.9427341507957213,878.0
02-04-2011,4040699.0,2225,0.5968539325842697,1816.0
02-04-2012,6719174.0,5881,0.7944227172249617,1143.0
02-04-2013,4916547.0,5902,0.8749576414774652,833.0
02-04-2014,8669416.0,8886,0.8505514292144947,976.0
02-04-2015,13318116.0,11276,0.7687123093295495,1181.0
02-04-2016,14214322.0,9282,0.6252962723550959,1531.0
02-04-2017,25284438.0,13714,0.4929269359778329,1844.0
02-04-2018,9487826.0,9402,0.7989789406509253,1009.0
02-04-2019,7216246.0,7895,0.927042431918936,914.0
02-05-2011,5708587.0,4329,0.8048048048048048,1319.0
02-05-2012,5205767.0,6102,0.8906915765322845,853.0
02-05-2013,8479732.0,8490,0.8441696113074205,999.0
02-05-2014,10928165.0,10333,0.8180586470531307,1058.0
02-05-2015,19266161.0,12579,0.5937673900946021,1532.0
02-05-2016,7808069.0,8139,0.8433468485071877,959.0
02-05-2017,13605817.0,13312,0.8108473557692307,1022.0
02-05-2018,15030821.0,13932,0.8036175710594315,1079.0
02-05-2019,10204111.0,9894,0.886294724075197,1031.0
02-06-2011,5445738.0,4912,0.8501628664495114,1109.0
02-06-2012,11659652.0,8025,0.65196261682243,1453.0
02-06-2013,10322037.0,7664,0.6089509394572025,1347.0
02-06-2014,10118522.0,10355,0.8200869145340415,977.0
02-06-2015,6768723.0,8055,0.8881440099317194,840.0
